CustomerID,Lookalikes
C0001,"[('C0048', 0.9407876759891012), ('C0181', 0.9494311224773904), ('C0190', 0.9680678493126138)]"
C0002,"[('C0106', 0.9219146345254724), ('C0134', 0.9677571547188144), ('C0088', 0.9934584807210045)]"
C0003,"[('C0031', 0.8829390327081897), ('C0152', 0.9691999661375187), ('C0052', 0.9833426157840903)]"
C0004,"[('C0169', 0.9457006040029727), ('C0165', 0.9534888353098054), ('C0155', 0.9724634920250188)]"
C0005,"[('C0007', 0.8741525682363964), ('C0186', 0.9729669345362394), ('C0146', 0.9801457445618401)]"
C0006,"[('C0187', 0.9655545753644005), ('C0171', 0.9725318897958815), ('C0168', 0.9740021287121854)]"
C0007,"[('C0005', 0.8741525682363964), ('C0115', 0.9223896775805309), ('C0140', 0.9742946620822387)]"
C0008,"[('C0160', 0.8424421767647966), ('C0189', 0.8445575717594946), ('C0038', 0.8458653871491474)]"
C0009,"[('C0198', 0.9696065323589426), ('C0111', 0.9787070266116136), ('C0010', 0.9813504901356432)]"
C0010,"[('C0198', 0.979536895417551), ('C0009', 0.9813504901356432), ('C0111', 0.9951042708697849)]"
C0011,"[('C0126', 0.956182511435841), ('C0169', 0.9593428811031149), ('C0137', 0.9610021260515446)]"
C0012,"[('C0163', 0.9127766195720333), ('C0113', 0.9253565735868052), ('C0104', 0.9574483909807818)]"
C0013,"[('C0141', 0.8065534801899741), ('C0108', 0.9070312381563661), ('C0099', 0.9905404574697845)]"
C0014,"[('C0151', 0.8722943972476305), ('C0172', 0.9387775219133725), ('C0060', 0.9752442824989276)]"
C0015,"[('C0094', 0.8845048166603331), ('C0131', 0.9720990211503396), ('C0036', 0.9814319794219716)]"
C0016,"[('C0042', 0.8632819795410333), ('C0067', 0.9609289242176324), ('C0183', 0.9998744678758482)]"
C0017,"[('C0057', 0.9061182341857132), ('C0081', 0.913047588076161), ('C0075', 0.9484650611202452)]"
C0018,"[('C0185', 0.8946386538721902), ('C0046', 0.9157581194630986), ('C0117', 0.9720471888391006)]"
C0019,"[('C0081', 0.8231144273877353), ('C0132', 0.8559351788641211), ('C0121', 0.9731809721455075)]"
C0020,"[('C0035', 0.7493215385400047), ('C0026', 0.758339035856969), ('C0050', 0.8297069922105089)]"
